Plate information 
Plate,Repeat,Barcode,Measurement date,Chamber temperature at start,Chamber temperature at end,Ambient temperature at start,Ambient temperature at end,
1,1,="",28/08/2020 4:01:30 p.m.,30.2,30.2,30.6,30.6,
A03,MeasA:Result,37974,34221,32092,30643,29236,27939,26849,25875,25323,24228,23840,23175,22588,22287,21821,21373,20865,20752,20730,20295,19746,19617,19256,19153,18935,19016,18651,18550,18528,18244,18344,17947,17992,17787,17644,17714,17575,
A03,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,MeasB:Result,9884,10134,11081,11990,12777,13753,14218,14699,15079,15616,15960,16184,16635,17039,17079,17181,17403,17641,17660,18084,18129,18440,18392,18393,18451,18576,18643,18808,18880,18677,19010,18996,19014,19052,19040,19017,19208,
A03,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A03,Calc1:Average within well,37974,
A03,Calc2:Average within well,9884.0,
A03,Calc3:Ratio,3.84196681505,
A04,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A04,MeasA:Result,36859,35218,35106,34861,35138,35255,34820,35067,34767,35187,34906,35053,35121,34955,35147,34962,35130,34786,35019,35102,35282,35171,34655,35214,34927,35090,35226,35278,34573,35063,34990,34985,34718,34806,34653,34853,34693,
A04,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A04,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A04,MeasB:Result,9015,8152,8062,8032,8104,8101,8005,8009,8139,8178,8156,8207,8056,8185,8162,8334,8136,8130,8063,8050,8144,7975,8143,8111,8012,8051,8211,8106,8279,8085,7968,8044,8095,8109,8185,8163,8194,
A04,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A04,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A04,Calc1:Average within well,36859,
A04,Calc2:Average within well,9015.0,
A04,Calc3:Ratio,4.08863006101,
A05,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A05,MeasA:Result,37662,34652,32962,31731,30905,29782,28872,28439,27582,27133,26646,26101,25541,25097,24725,24314,24054,23640,23406,22942,22727,22686,22430,22282,21938,21693,21722,21463,21444,21041,20880,20680,20705,20672,20471,20272,20348,
A05,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A05,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A05,MeasB:Result,9586,9513,10333,10852,11666,12292,12603,13327,13734,13799,14097,14595,14886,15272,15239,15564,15683,15983,16182,16248,16294,16400,16712,16760,16962,16810,16968,17154,17110,17098,17270,17332,17463,17568,17410,17700,17686,
A05,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A05,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A05,Calc1:Average within well,37662,
A05,Calc2:Average within well,9586.0,
A05,Calc3:Ratio,3.9288545796,
A06,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
A06,MeasA:Result,36472,34857,34243,34371,34308,34598,34317,34426,34464,34387,34262,34177,34388,34357,34578,34468,34508,34755,34464,34448,34277,34400,34257,34287,34497,34412,34518,34094,34011,34109,34189,34222,34171,34356,34356,33895,34030,
A06,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A06,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A06,MeasB:Result,8751,7928,7937,7953,8001,7876,7889,7982,7908,8037,7943,7945,7845,7994,7952,8072,7872,7798,8080,7870,7996,7909,7960,8074,8050,7996,7995,8023,7945,7852,8088,8025,7939,7954,7935,7935,7973,
A06,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A06,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
A06,Calc1:Average within well,36472,
A06,Calc2:Average within well,8751.0,
A06,Calc3:Ratio,4.16775225688,
B01,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
B01,MeasA:Result,38037,34768,33188,31486,30166,29085,28124,27159,26394,25727,25245,24564,23988,23655,23085,22794,22433,22163,21755,21594,21255,20907,20700,20567,20454,20090,19790,19651,19698,19545,19532,19064,19052,19188,18796,18714,18754,
B01,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B01,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B01,MeasB:Result,9826,10121,10958,11580,12593,13333,13664,14270,14988,15319,15617,15778,16195,16276,16638,16843,16938,17043,17355,17441,17612,17704,18208,18076,18215,18271,18219,18287,18474,18541,18546,18792,18698,18731,18672,19003,18849,
B01,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B01,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B01,Calc1:Average within well,38037,
B01,Calc2:Average within well,9826.0,
B01,Calc3:Ratio,3.87105638103,
B02,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
B02,MeasA:Result,37357,35429,35298,35305,35108,35069,35163,35121,35174,35170,35432,35350,35250,35271,35341,35181,35237,35214,35551,35408,35440,35188,35171,35363,35489,35531,35247,35324,35015,35273,35337,35355,35166,35232,35070,35406,35225,
B02,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B02,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B02,MeasB:Result,9179,8306,8199,8066,7927,7989,8164,7942,8046,8063,8074,8093,8075,8065,8125,8098,8111,8201,8143,8139,8213,8244,8178,8208,8272,8157,7963,8218,8248,8124,8317,8089,8185,8145,8012,8205,8159,
B02,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B02,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B02,Calc1:Average within well,37357,
B02,Calc2:Average within well,9179.0,
B02,Calc3:Ratio,4.06983331518,
B03,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
B03,MeasA:Result,38565,34731,32729,30895,29312,28200,27145,26111,25153,24218,23931,23073,22585,22232,21920,21431,21130,20745,20527,20126,19811,19561,19621,19387,18995,18733,18640,18549,18641,18250,18258,18136,17785,17473,17499,17446,17394,
B03,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B03,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B03,MeasB:Result,10087,10179,10988,11892,12734,13710,14123,14885,15079,15747,15883,16093,16485,16673,17120,17310,17346,17640,17715,17972,17985,18139,18373,18261,18364,18436,18529,18498,18677,18913,18921,18660,18688,18764,19139,18905,18847,
B03,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B03,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B03,Calc1:Average within well,38565,
B03,Calc2:Average within well,10087,
B03,Calc3:Ratio,3.82323783087,
B04,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
B04,MeasA:Result,36505,35308,35384,34984,35016,35079,35098,35139,35377,35214,35207,35478,35170,35184,35065,35204,35284,35364,35145,35288,35416,34944,35307,35433,35233,35413,35100,35181,35130,35311,35345,35003,35243,35290,34907,35356,35218,
B04,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B04,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B04,MeasB:Result,9047,8406,8022,8001,8092,8104,8062,8036,7952,8074,8097,8022,8141,7936,7936,8078,8019,8122,8115,8062,8157,8095,8115,8136,8172,8143,8001,7950,8121,8197,8090,7990,8061,8129,8085,8063,8149,
B04,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B04,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B04,Calc1:Average within well,36505,
B04,Calc2:Average within well,9047.0,
B04,Calc3:Ratio,4.03503923953,
B05,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
B05,MeasA:Result,37298,34309,32667,31376,30426,29243,28494,27775,26943,26497,25731,25261,24899,24352,23916,23589,23426,22795,22603,22593,22025,21821,21426,21360,21041,21026,20749,20529,20374,20288,20218,20121,19776,19631,19689,19408,19369,
B05,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B05,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B05,MeasB:Result,9531,9513,10069,10863,11366,12057,12863,13140,13401,13764,14185,14334,14666,15095,15191,15564,15548,15953,15951,16439,16083,16149,16743,16525,16717,16745,16799,16818,17061,17193,17077,17257,17421,17178,17346,17430,17502,
B05,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B05,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B05,Calc1:Average within well,37298,
B05,Calc2:Average within well,9531.0,
B05,Calc3:Ratio,3.91333543175,
B06,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
B06,MeasA:Result,36401,34681,34516,34198,34303,34391,34424,34618,34392,34536,34485,34527,34961,34630,34566,35026,34573,34850,34986,34749,34658,34701,34639,34968,34886,34695,34761,34733,34859,34609,34786,34716,34721,34532,34639,34528,34605,
B06,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B06,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B06,MeasB:Result,8949,8210,7946,7880,7850,7871,7883,7863,7933,7951,7834,7995,7949,7856,8001,8056,7982,8070,7868,7858,8036,7726,8021,8101,7893,8017,8068,8088,8039,7970,7969,7821,8056,8092,8023,7964,8103,
B06,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B06,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
B06,Calc1:Average within well,36401,
B06,Calc2:Average within well,8949.0,
B06,Calc3:Ratio,4.06760531903,
C01,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
C01,MeasA:Result,38465,35245,33434,31920,30384,29595,28673,27713,26932,26244,25701,24994,24479,24091,23581,23404,22866,22680,22210,22014,21763,21424,21158,20762,20466,20658,20379,20129,20131,19716,19829,19663,19408,19144,19329,19074,19131,
C01,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C01,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C01,MeasB:Result,10000,10007,11004,11905,12871,13474,14206,14535,15034,15519,15852,16359,16691,16931,17184,17184,17684,17787,17937,17970,18170,18300,18514,18455,18580,18678,18759,18857,19138,18982,19165,19207,19000,19468,19251,19482,19495,
C01,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C01,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C01,Calc1:Average within well,38465,
C01,Calc2:Average within well,10000,
C01,Calc3:Ratio,3.8465,
C02,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
C02,MeasA:Result,37008,35253,35019,35084,34688,35075,35199,35064,35043,35127,34957,35289,35112,34952,35036,35015,35336,34833,35048,34988,35348,35134,35287,35328,35371,35088,35264,34949,34863,35139,35154,34902,35075,34950,35092,34864,35017,
C02,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C02,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C02,MeasB:Result,9191,8253,8018,7894,8078,7956,7891,7883,7926,7952,7972,7914,8093,8048,8029,8046,8047,8082,7980,8168,8060,8054,8072,7971,8260,7988,7876,8145,8049,8020,8009,8194,8107,8130,8009,8013,8029,
C02,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C02,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C02,Calc1:Average within well,37008,
C02,Calc2:Average within well,9191.0,
C02,Calc3:Ratio,4.02654770972,
C03,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
C03,MeasA:Result,37844,34556,32423,30713,29214,28116,27370,26157,25332,24457,23965,23529,22819,22093,22095,21633,21276,20729,20537,20267,20006,19573,19426,19244,19062,18626,18467,18491,18452,18223,18134,18058,17739,17702,17820,17622,17231,
C03,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C03,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C03,MeasB:Result,9831,10118,11045,11896,12700,13438,14036,14547,15052,15466,15782,15984,16396,16594,16904,17212,17359,17509,17502,17681,17908,18022,18026,18175,18048,18243,18263,18373,18481,18735,18602,18505,18721,18836,18724,18652,18759,
C03,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C03,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C03,Calc1:Average within well,37844,
C03,Calc2:Average within well,9831.0,
C03,Calc3:Ratio,3.84945580307,
C04,PlateRepeat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,
C04,MeasA:Result,37333,35673,35022,35086,34801,35146,34951,34991,35391,34900,34901,35226,35101,35345,35118,35026,34997,34987,35155,35172,35204,35033,35263,34985,34931,35145,35017,35248,35002,35232,35008,34884,35059,35183,34809,35072,34991,
C04,MeasA:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C04,MeasA:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C04,MeasB:Result,9094,8347,8142,8066,8027,8193,8097,7942,8131,8050,7989,8184,8096,8103,8211,8280,8125,8077,7954,8074,8214,8073,8079,8055,8127,8071,8202,8116,8043,8152,8045,8099,8226,8181,8118,8048,8210,
C04,MeasB:ScanX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C04,MeasB:ScanY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
C04,Calc1:Average within well,37333,
C04,Calc2:Average within well,9094.0,
